               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.037696,            0.045832,            0.015826,             0.84954,             0.55469,             0.66978,             0.45157,            0.034061,            0.029152,            0.018096,            0.009565,            0.009565,            0.009565
                  60,            0.035542,            0.044464,            0.015865,             0.63925,             0.71429,             0.72389,             0.47086,            0.031011,            0.025229,            0.015032,           0.0095575,           0.0095575,           0.0095575
                  61,            0.035724,            0.046594,             0.01599,             0.89336,             0.60133,             0.68366,             0.47179,             0.03214,            0.028546,            0.017117,             0.00955,             0.00955,             0.00955
                  62,            0.036856,            0.047208,            0.014905,             0.75392,             0.62445,             0.69299,             0.45965,             0.03077,            0.025087,            0.017015,           0.0095425,           0.0095425,           0.0095425
                  63,            0.034277,            0.045916,            0.015504,             0.60541,             0.66799,             0.68343,             0.48467,            0.029889,            0.028214,            0.018623,            0.009535,            0.009535,            0.009535
                  64,            0.034237,            0.046873,            0.014997,              0.8911,              0.5489,              0.6656,             0.43922,            0.033771,            0.031807,             0.01967,           0.0095275,           0.0095275,           0.0095275
                  65,            0.035635,            0.050301,            0.014968,             0.77578,             0.64447,             0.71851,              0.5179,            0.029277,            0.025083,            0.017462,             0.00952,             0.00952,             0.00952
                  66,            0.034046,            0.045598,            0.014226,             0.58289,              0.7273,             0.71781,             0.49981,            0.030382,            0.025501,            0.016221,           0.0095125,           0.0095125,           0.0095125
                  67,            0.032864,            0.043255,            0.013808,              0.8703,             0.64528,             0.71031,             0.49329,            0.028889,            0.024709,            0.015611,            0.009505,            0.009505,            0.009505
                  68,            0.033165,            0.045825,            0.013969,             0.76785,             0.66769,             0.72365,             0.49349,            0.028876,            0.024092,            0.014882,           0.0094975,           0.0094975,           0.0094975
                  69,            0.033226,            0.043144,            0.013645,             0.74957,             0.64129,              0.7054,             0.49429,            0.031412,            0.025467,            0.016613,             0.00949,             0.00949,             0.00949
                  70,            0.034445,            0.045626,            0.013154,             0.64271,             0.74884,             0.75547,             0.55565,            0.027154,            0.023676,            0.014019,           0.0094825,           0.0094825,           0.0094825
                  71,            0.032483,            0.040386,            0.012673,             0.88717,             0.65072,             0.74619,              0.5022,            0.031599,            0.025524,            0.014745,            0.009475,            0.009475,            0.009475
                  72,             0.03284,            0.043032,            0.013626,              0.8919,             0.68503,              0.7522,             0.52668,            0.029094,            0.024322,            0.014746,           0.0094675,           0.0094675,           0.0094675
                  73,            0.032278,            0.041339,            0.013395,             0.60383,             0.76122,             0.74855,             0.53517,             0.02836,            0.025072,            0.014498,             0.00946,             0.00946,             0.00946
                  74,            0.033351,             0.04373,            0.013614,             0.89867,              0.7043,             0.76831,             0.54203,            0.028252,            0.024289,            0.014061,           0.0094525,           0.0094525,           0.0094525
                  75,            0.031564,            0.040931,            0.012843,             0.74677,             0.68389,             0.75029,             0.52109,            0.028088,               0.025,            0.015613,            0.009445,            0.009445,            0.009445
                  76,            0.031206,            0.043265,            0.013055,             0.67522,              0.6691,             0.72898,             0.50081,            0.030265,            0.025121,            0.016033,           0.0094375,           0.0094375,           0.0094375
                  77,            0.033142,            0.044819,            0.013809,             0.58161,             0.74339,             0.73864,             0.54477,            0.027094,            0.025604,            0.014924,             0.00943,             0.00943,             0.00943
                  78,            0.031178,            0.043038,            0.012731,             0.63304,             0.77168,             0.75963,             0.55009,            0.026571,            0.024906,            0.014931,           0.0094225,           0.0094225,           0.0094225
                  79,             0.03157,            0.040874,             0.01248,             0.70753,             0.74042,              0.7459,             0.49442,            0.030513,            0.025207,            0.014397,            0.009415,            0.009415,            0.009415
                  80,            0.032265,            0.042369,            0.012244,             0.72403,             0.76269,             0.78938,             0.56616,            0.026982,            0.023446,            0.012727,           0.0094075,           0.0094075,           0.0094075
                  81,            0.032472,            0.043144,            0.011868,             0.76363,             0.73633,             0.78431,             0.57874,            0.026447,            0.023717,             0.01351,              0.0094,              0.0094,              0.0094
                  82,            0.032663,            0.044432,            0.012029,             0.73535,              0.7728,             0.78167,             0.57111,            0.026873,            0.023846,            0.012691,           0.0093925,           0.0093925,           0.0093925
                  83,            0.031316,            0.043306,            0.012171,             0.67572,             0.78069,             0.76805,             0.54872,            0.025032,            0.023467,             0.01329,            0.009385,            0.009385,            0.009385
                  84,            0.030438,            0.040786,            0.011628,             0.72605,             0.73466,             0.75158,             0.54081,            0.027008,            0.023584,            0.013625,           0.0093775,           0.0093775,           0.0093775
                  85,            0.031833,            0.042203,            0.011632,             0.73892,             0.74453,             0.76878,             0.58681,            0.025345,            0.024191,            0.013832,             0.00937,             0.00937,             0.00937
                  86,            0.030442,             0.03967,            0.011573,             0.82579,             0.78014,             0.80112,             0.55944,            0.028341,            0.023986,            0.012565,           0.0093625,           0.0093625,           0.0093625
                  87,            0.030025,            0.041577,            0.010801,             0.93059,             0.74623,             0.81243,             0.57581,            0.027647,            0.023267,            0.012138,            0.009355,            0.009355,            0.009355
                  88,            0.030239,            0.040305,            0.010671,             0.80389,             0.74091,             0.81844,             0.59431,            0.026193,            0.022364,            0.011822,           0.0093475,           0.0093475,           0.0093475
                  89,            0.030828,            0.042696,            0.010955,             0.79559,             0.75405,             0.80843,             0.60527,             0.02499,             0.02254,            0.012793,             0.00934,             0.00934,             0.00934
                  90,            0.029718,            0.039288,            0.010417,             0.73082,             0.80696,             0.81002,             0.58522,            0.026599,            0.023294,            0.012658,           0.0093325,           0.0093325,           0.0093325
                  91,            0.029582,            0.041288,            0.010221,             0.69964,             0.80877,             0.80412,             0.59456,            0.024658,            0.022162,            0.012346,            0.009325,            0.009325,            0.009325
                  92,            0.029569,            0.040252,             0.01106,             0.75715,             0.68834,             0.78425,             0.57747,            0.024795,            0.023394,            0.013608,           0.0093175,           0.0093175,           0.0093175
                  93,            0.029977,            0.041689,           0.0099646,             0.84913,             0.69444,             0.77385,             0.58673,            0.024173,            0.022598,            0.014363,             0.00931,             0.00931,             0.00931
                  94,            0.029211,            0.039847,             0.01028,             0.72031,             0.74339,             0.77602,             0.58314,            0.024794,            0.022371,            0.014621,           0.0093025,           0.0093025,           0.0093025
                  95,            0.028747,            0.040048,            0.010953,             0.68431,             0.78767,             0.78871,             0.56468,            0.025838,            0.021952,            0.012931,            0.009295,            0.009295,            0.009295
                  96,            0.029109,            0.040211,            0.010177,             0.76517,             0.77748,             0.80127,             0.58979,            0.024767,            0.023589,            0.012678,           0.0092875,           0.0092875,           0.0092875
                  97,            0.029382,            0.039532,            0.010082,             0.79535,             0.79004,             0.81179,             0.59531,            0.023985,            0.022899,            0.011534,             0.00928,             0.00928,             0.00928
                  98,            0.027975,            0.037296,           0.0098067,             0.80117,             0.80169,             0.81685,             0.60831,             0.02414,            0.022538,            0.011922,           0.0092725,           0.0092725,           0.0092725
                  99,            0.030405,            0.040158,            0.009793,             0.79723,             0.73262,             0.79728,             0.60476,            0.024866,            0.022721,            0.013559,            0.009265,            0.009265,            0.009265
                 100,            0.028042,            0.039869,           0.0092246,             0.79791,              0.7422,             0.80176,             0.58154,            0.026344,            0.022027,            0.012899,           0.0092575,           0.0092575,           0.0092575
